"","document1","document2","correlation"
"1","text1","text2",0.60809968248454
"2","text1","text3",0.55876661917969
"3","text2","text3",0.69157043228003
"4","text1","text4",0.87658242852273
"5","text2","text4",0.67395288800039
"6","text3","text4",0.70279426695887
"7","text1","text5",0.20121939404286
"8","text2","text5",0.31024147969092
"9","text3","text5",0.34065731345175
"10","text4","text5",0.26217060678139
"11","text1","text6",0.74573039230228
"12","text2","text6",0.66274587972641
"13","text3","text6",0.77037725110157
"14","text4","text6",0.85787467982771
"15","text5","text6",0.24990142348466
"16","text1","text7",0.57391378731506
"17","text2","text7",0.38500091415412
"18","text3","text7",0.3559033618843
"19","text4","text7",0.58224668964298
"20","text5","text7",0.14057176525055
"21","text6","text7",0.47349645589851
"22","text1","text8",0.48788870055172
"23","text2","text8",0.43057890228876
"24","text3","text8",0.48879519039345
"25","text4","text8",0.52685239655897
"26","text5","text8",0.24254524063947
"27","text6","text8",0.4096860203052
"28","text7","text8",0.36891034955233
"29","text1","text9",0.4813237422127
"30","text2","text9",0.45374969029826
"31","text3","text9",0.42426727359256
"32","text4","text9",0.53857879658554
"33","text5","text9",0.25745133673183
"34","text6","text9",0.40474788518239
"35","text7","text9",0.45774341889741
"36","text8","text9",0.54885629686673
"37","text1","text10",0.39856963773659
"38","text2","text10",0.35579742627015
"39","text3","text10",0.36842256816464
"40","text4","text10",0.47027381954838
"41","text5","text10",0.19725523025262
"42","text6","text10",0.38586920851819
"43","text7","text10",0.40085263251735
"44","text8","text10",0.41460477688183
"45","text9","text10",0.68383012416706
"46","text1","text11",0.34466696912533
"47","text2","text11",0.26360033262543
"48","text3","text11",0.29662670494268
"49","text4","text11",0.38305503897056
"50","text5","text11",0.0906668835679
"51","text6","text11",0.23405895484412
"52","text7","text11",0.31732532468025
"53","text8","text11",0.29139933350572
"54","text9","text11",0.40390346182443
"55","text10","text11",0.32865787771814
"56","text1","text12",0.40013616470292
"57","text2","text12",0.30048646253064
"58","text3","text12",0.35297958827421
"59","text4","text12",0.44327406332139
"60","text5","text12",0.16324250714686
"61","text6","text12",0.35598811369526
"62","text7","text12",0.35344893822148
"63","text8","text12",0.54089720577474
"64","text9","text12",0.59904411392765
"65","text10","text12",0.55655830127227
"66","text11","text12",0.29035688519966
"67","text1","text13",0.47933546861204
"68","text2","text13",0.45213798837897
"69","text3","text13",0.42334869611486
"70","text4","text13",0.53675454619744
"71","text5","text13",0.25755454742868
"72","text6","text13",0.4030727533445
"73","text7","text13",0.45567539291105
"74","text8","text13",0.54831086533877
"75","text9","text13",0.99964075977729
"76","text10","text13",0.68242684775356
"77","text11","text13",0.40084933707699
"78","text12","text13",0.59971945695098
"79","text1","text14",0.10451653163232
"80","text2","text14",0.16672104548138
"81","text3","text14",0.13920283786341
"82","text4","text14",0.12415602716878
"83","text5","text14",0.21958960949103
"84","text6","text14",0.09111185039103
"85","text7","text14",0.08288515610606
"86","text8","text14",0.18856931121265
"87","text9","text14",0.41930890447596
"88","text10","text14",0.17283043474186
"89","text11","text14",0.08286548316526
"90","text12","text14",0.16238245362491
"91","text13","text14",0.42077849525359
"92","text1","text15",0.30452446212833
"93","text2","text15",0.30477270453273
"94","text3","text15",0.28225107612776
"95","text4","text15",0.36772848758378
"96","text5","text15",0.17564050171859
"97","text6","text15",0.32927186943787
"98","text7","text15",0.29586305165
"99","text8","text15",0.3434095617105
"100","text9","text15",0.68120048491556
"101","text10","text15",0.55723909336903
"102","text11","text15",0.22741279812367
"103","text12","text15",0.42664540755313
"104","text13","text15",0.6788641558411
"105","text14","text15",0.1983540863801
"106","text1","text16",0.2185653623729
"107","text2","text16",0.24185989984156
"108","text3","text16",0.1998660905274
"109","text4","text16",0.21203895606363
"110","text5","text16",0.11103101604793
"111","text6","text16",0.14078073917271
"112","text7","text16",0.22988622041462
"113","text8","text16",0.35995145943579
"114","text9","text16",0.42076387333992
"115","text10","text16",0.26834883545102
"116","text11","text16",0.32952756431468
"117","text12","text16",0.31432237488287
"118","text13","text16",0.41981635382144
"119","text14","text16",0.10825212974435
"120","text15","text16",0.21524708726567
"121","text1","text17",0.4129198558763
"122","text2","text17",0.2783698544638
"123","text3","text17",0.26167390013767
"124","text4","text17",0.40970361074233
"125","text5","text17",0.12694681624257
"126","text6","text17",0.22368202193053
"127","text7","text17",0.41390849135035
"128","text8","text17",0.56249145718882
"129","text9","text17",0.67920777759044
"130","text10","text17",0.49229926678103
"131","text11","text17",0.43027299394569
"132","text12","text17",0.54873744013577
"133","text13","text17",0.67876817987872
"134","text14","text17",0.15419061404919
"135","text15","text17",0.4115691056646
"136","text16","text17",0.55420628289591
"137","text1","text18",0.11086536832076
"138","text2","text18",0.17931043551825
"139","text3","text18",0.14768829423168
"140","text4","text18",0.13328383932837
"141","text5","text18",0.2307181140519
"142","text6","text18",0.09261596873349
"143","text7","text18",0.08984534945733
"144","text8","text18",0.20949487281633
"145","text9","text18",0.43076687664788
"146","text10","text18",0.18561744270661
"147","text11","text18",0.08923480584467
"148","text12","text18",0.17326787738319
"149","text13","text18",0.43252168743303
"150","text14","text18",0.97882584210629
"151","text15","text18",0.20550893447645
"152","text16","text18",0.11416838453477
"153","text17","text18",0.17116847655625
"154","text1","text19",0.60208346575854
"155","text2","text19",0.49646449081775
"156","text3","text19",0.54999345685472
"157","text4","text19",0.6797297523835
"158","text5","text19",0.29952236559431
"159","text6","text19",0.59959532461083
"160","text7","text19",0.45510060896666
"161","text8","text19",0.72787572748141
"162","text9","text19",0.63620432643019
"163","text10","text19",0.55772530141055
"164","text11","text19",0.32385418973698
"165","text12","text19",0.57687012896422
"166","text13","text19",0.63587122951495
"167","text14","text19",0.20343643210495
"168","text15","text19",0.47709228454952
"169","text16","text19",0.29281839899948
"170","text17","text19",0.4558479245222
"171","text18","text19",0.21894904525491
"172","text1","text20",0.36974972664792
"173","text2","text20",0.2361377149764
"174","text3","text20",0.21841613046026
"175","text4","text20",0.36097428827972
"176","text5","text20",0.10482838647442
"177","text6","text20",0.18099188901709
"178","text7","text20",0.38567182147328
"179","text8","text20",0.53618767711352
"180","text9","text20",0.61955244034022
"181","text10","text20",0.47034312717857
"182","text11","text20",0.4215685216644
"183","text12","text20",0.51216012036804
"184","text13","text20",0.61897142724032
"185","text14","text20",0.13116115737002
"186","text15","text20",0.3838623254959
"187","text16","text20",0.6103347334875
"188","text17","text20",0.93136611387915
"189","text18","text20",0.14539537350917
"190","text19","text20",0.41324444159877
"191","text1","text21",0.08542392608816
"192","text2","text21",0.13271005206929
"193","text3","text21",0.07418799375986
"194","text4","text21",0.07896908529585
"195","text5","text21",0.06695309928346
"196","text6","text21",0.05090725259299
"197","text7","text21",0.0760777449882
"198","text8","text21",0.066103317704
"199","text9","text21",0.15729464434619
"200","text10","text21",0.08798267164984
"201","text11","text21",0.06454956384234
"202","text12","text21",0.04876043915169
"203","text13","text21",0.15593769356267
"204","text14","text21",0.13308554611701
"205","text15","text21",0.09044553032833
"206","text16","text21",0.10042992621524
"207","text17","text21",0.09463437627852
"208","text18","text21",0.12951817671835
"209","text19","text21",0.07653522634473
"210","text20","text21",0.07295456229357
"211","text1","text22",0.37895942175852
"212","text2","text22",0.30555319969189
"213","text3","text22",0.29797560932246
"214","text4","text22",0.4329741747217
"215","text5","text22",0.1481868558348
"216","text6","text22",0.28979087092071
"217","text7","text22",0.64130905667025
"218","text8","text22",0.41683139453982
"219","text9","text22",0.5294856913155
"220","text10","text22",0.49600213225661
"221","text11","text22",0.32591552817182
"222","text12","text22",0.41303806607071
"223","text13","text22",0.52790605736692
"224","text14","text22",0.11137817049613
"225","text15","text22",0.37104179380092
"226","text16","text22",0.25058661542819
"227","text17","text22",0.48844870302136
"228","text18","text22",0.12552607949114
"229","text19","text22",0.45666070978221
"230","text20","text22",0.47212732371526
"231","text21","text22",0.07773472583457
"232","text1","text23",0.32646383797038
"233","text2","text23",0.38938779055357
"234","text3","text23",0.45681602388148
"235","text4","text23",0.40238003126011
"236","text5","text23",0.15459089830023
"237","text6","text23",0.38121599837592
"238","text7","text23",0.27526058008284
"239","text8","text23",0.36832589850469
"240","text9","text23",0.52739332419991
"241","text10","text23",0.49035277514784
"242","text11","text23",0.34437714065915
"243","text12","text23",0.43217591034631
"244","text13","text23",0.52653834091844
"245","text14","text23",0.18251412732261
"246","text15","text23",0.37955567793455
"247","text16","text23",0.24872865898279
"248","text17","text23",0.39820935813251
"249","text18","text23",0.19401702591252
"250","text19","text23",0.41885406013565
"251","text20","text23",0.35906049935939
"252","text21","text23",0.08228818511645
"253","text22","text23",0.28720006156883
