"doc_title","word","tfidf"
"text5","monster",36.0637265720228
"text5","dragon",16.5689457920394
"text5","maketh",14.6924226784383
"text5","moon",13.269098719469
"text5","tail",10.6353498256548
"text5","ass",8.35634629158593
"text5","sweet",7.5966784468963
"text5","causeth",6.93796554390117
"text5","leaguors",6.80863918008796
"text5","smell",6.36418704212167
"text5","feeding",5.6829277560367
"text5","visions",5.44691134407037
"text5","hell",5.30348920176806
"text5","daughter",5.25218927070554
"text5","destruction",4.88982391893922
